day,open,high,low,close,volume,stock
23,163.7565657213357,165.39836149400213,163.39921229922183,164.52177707797824,888,DSM
24,164.55860857843462,166.60507770252917,164.27269227456287,165.90047749324245,4254,DSM
25,165.84996305846508,167.32655184498174,164.18150381667195,166.57697306773917,111487,DSM
26,166.34602826102818,169.13008255687592,165.80599473766438,169.13008255687592,85151,DSM
27,169.07556304466456,171.4191819695821,168.11324024772466,171.25471694638946,95780,DSM
28,171.19470015591233,171.97440144615717,169.7855784385528,171.05001110330082,80419,DSM
29,171.06624401111088,172.29927136857447,170.43403749046476,171.81857938218096,3154,DSM
30,171.68528190896447,172.69952854234597,169.15430808368453,169.50552540612503,3076,DSM
31,169.73720531187368,171.56073303879623,169.316971795752,171.0213301476791,3558,DSM
32,171.13856139575444,173.9169602525292,171.12616545962902,171.8953236240715,3686,DSM
33,171.7692786730747,172.1029026909866,168.01786360818897,168.04313013265468,9877,DSM
34,167.96880793356996,173.0056115691856,167.92329508060362,171.4623270466069,1867,DSM
35,171.40313987370715,174.58242862204185,171.40313987370715,173.09247380594485,50411,DSM
36,172.9880521802939,173.83197670315695,171.57000122681805,171.9559351299658,929,DSM
37,171.81300880419874,172.79048780431015,170.6017793172727,170.66426070472755,1007,DSM
38,170.6037781465408,170.95121824885564,167.41722231649047,169.22762088576144,1056,DSM
39,169.09315224683672,169.2316907051048,166.17112955721896,166.94674734338673,1109,DSM
40,166.9998883338391,170.1178780937343,166.75158679364688,169.30945688832003,1054,DSM
41,169.3879672974722,170.14529834417377,166.66889762924575,166.9114906592079,1146,DSM
42,167.13139681708114,169.7586765903117,167.02959978421092,168.8819548286705,1095,DSM
43,168.96816393573306,169.9324886425281,167.8527289281117,169.24516840786288,6957,DSM
44,169.18910904595367,169.82420379377524,168.08795886171606,168.4953468658583,281,DSM
45,168.46071448271698,171.62511442905452,168.11039259457692,170.90641482102492,330,DSM
46,171.00293395710986,173.61829136736094,170.96984832985436,173.61829136736094,360,DSM
47,173.62620192143962,176.11941312638658,173.62620192143962,176.0088667224632,369,DSM
48,175.718980360431,178.3667758124018,175.718980360431,178.3667758124018,343,DSM
49,178.211617461258,179.7824095658648,177.9066830192337,179.7824095658648,8747,DSM
50,179.65261876317524,181.11961643075384,179.1646728748932,181.11961643075384,117,DSM
51,181.15225272424712,181.15225272424712,181.15225272424712,181.15225272424712,1,DSM
52,180.8319809089082,180.8867139992622,180.45119875961507,180.45119875961507,4,DSM
53,180.0588439686319,182.0845405670667,178.92522615645237,178.92522615645237,58410,DSM
54,178.62924160682857,180.01926575128556,177.68423335423438,177.77946950937056,1568,DSM
55,177.8033094310007,180.38746544560388,177.09390960547887,179.30358999227536,1628,DSM
56,179.26797087673467,182.08253908631588,179.18487751303394,180.58257652184525,1761,DSM
57,180.585432927851,180.8228157597192,178.7646256623314,179.3396663790715,5621,DSM
58,179.38418357207425,181.60958204615315,178.94714412556084,180.5447245656261,4554,DSM
59,180.59336594192092,181.3925160677675,179.0761753656295,179.33903944091972,3906,DSM
60,179.31632771109207,183.16158780075276,179.31632771109207,181.61462393925677,5138,DSM
61,181.71112993027148,181.9878080514338,180.2549989799614,180.6444369973701,55458,DSM
62,180.7078809140836,181.02398896552708,177.86703794575368,179.74809725412837,478,DSM
63,179.84069271680565,181.74552482531539,179.60433590616645,179.88247586884117,623,DSM
64,179.92766905920507,180.60665206893796,178.7022641626679,179.75235851218574,49741,DSM
65,179.89558780758415,180.63500306300804,177.85639550713225,178.10851048224853,2074,DSM
66,178.21338648615043,179.24210491013582,178.1461764888098,179.1494375751793,83,DSM
67,179.21408753916884,181.88828734868395,179.21408753916884,180.69158510932542,2752,DSM
68,180.6708850663037,180.6708850663037,180.64017272766378,180.64017272766378,2,DSM
69,180.66656597263258,180.67179093297307,180.51270168980005,180.51270168980005,7,DSM
70,180.5969335375727,183.61540355396886,180.10855111153884,182.50139635445302,1911,DSM
71,182.73759996162266,183.93863037928898,182.73759996162266,183.78989618775987,80,DSM
72,183.5219380791976,183.5219380791976,183.5219380791976,183.5219380791976,0,DSM
73,183.51945924107721,183.51945924107721,183.51945924107721,183.51945924107721,0,DSM
74,183.51945924107721,183.79960683144435,183.2068996348147,183.71635165423567,83,DSM
75,183.56977935342988,183.56977935342988,183.56977935342988,183.56977935342988,0,DSM
76,183.56336320055712,183.56336320055712,183.56336320055712,183.56336320055712,0,DSM
77,183.68144782787545,183.68144782787545,183.68144782787545,183.68144782787545,0,DSM
78,183.78801315502608,183.78801315502608,183.78801315502608,183.78801315502608,0,DSM
79,183.55343716015597,183.55343716015597,183.55343716015597,183.55343716015597,0,DSM
80,183.55343716015597,184.91095235538586,179.75238530185695,180.66211100525274,52574,DSM
81,180.55566492983868,181.99895316667593,179.44102450162598,180.14739240210866,1064,DSM
82,180.09688551224608,180.09688551224608,177.34540250114097,177.65452491383178,6024,DSM
83,177.663150748088,178.63229424393435,175.76102767314615,176.0608079121155,373,DSM
84,175.97048288894493,178.18386722632238,174.6708907187042,178.18386722632238,48751,DSM
85,178.24751931080982,179.94823763016163,177.6531827481664,179.92487530071043,99799,DSM
86,179.81648431539855,181.7051472896304,177.87081213284404,178.10332263333615,4095,DSM
87,178.0151389246756,180.87209331056755,177.519652162224,180.68441570371962,4229,DSM
88,180.84728237540176,181.87554445658085,179.53257646288512,180.86560238720466,4249,DSM
89,180.87214226772554,185.79350814819395,180.5222039527268,185.59540717435848,3842,DSM
90,185.56815927710508,188.55215557687802,185.56815927710508,188.40763419055244,9671,DSM
91,188.21625452520524,190.41978855102067,187.0203891217801,190.4177826992315,3254,DSM
92,190.51832941932685,191.98426749822133,189.491388957845,190.03092467909056,9176,DSM
93,190.17101637172857,191.97195137515058,187.92629978432112,187.92629978432112,5493,DSM
94,187.94310597441108,188.74871417530667,186.58362420739041,188.74871417530667,215,DSM
95,188.76011298837534,191.4982252398408,188.53518484668683,190.23512931502887,2531,DSM
96,190.18165896056163,190.57273835899144,190.0039624933661,190.1554318927527,26,DSM
